Time,Javier Milei,Patricia Bullrich,Sergio Massa,Juan Schiaretti,Myriam Bregman
2023-10-08T12:20:00-03:00,17,2,4,0.5,1
2023-10-08T12:28:00-03:00,16,3,3,1,1
2023-10-08T12:36:00-03:00,16,3,2,1,1
2023-10-08T12:44:00-03:00,18,4,4,1,1
2023-10-08T12:52:00-03:00,19,3,4,1,1
2023-10-08T13:00:00-03:00,19,3,4,0.5,1
2023-10-08T13:08:00-03:00,21,3,5,1,2
2023-10-08T13:16:00-03:00,21,3,4,1,2
2023-10-08T13:24:00-03:00,19,4,4,0.5,0.5
2023-10-08T13:32:00-03:00,22,4,4,1,1
2023-10-08T13:40:00-03:00,23,4,4,2,2
2023-10-08T13:48:00-03:00,21,4,3,1,1
2023-10-08T13:56:00-03:00,17,3,3,1,1
2023-10-08T14:04:00-03:00,16,3,4,1,1
2023-10-08T14:12:00-03:00,16,3,2,1,1
2023-10-08T14:20:00-03:00,19,3,3,2,1
2023-10-08T14:28:00-03:00,18,3,3,2,1
2023-10-08T14:36:00-03:00,19,4,4,1,1
2023-10-08T14:44:00-03:00,17,4,3,1,1
2023-10-08T14:52:00-03:00,16,2,3,2,1
2023-10-08T15:00:00-03:00,17,2,3,1,2
2023-10-08T15:08:00-03:00,16,3,3,1,1
2023-10-08T15:16:00-03:00,18,3,4,1,1
2023-10-08T15:24:00-03:00,16,3,3,1,1
2023-10-08T15:32:00-03:00,17,3,4,1,1
2023-10-08T15:40:00-03:00,15,2,3,1,1
2023-10-08T15:48:00-03:00,15,3,4,1,1
2023-10-08T15:56:00-03:00,15,3,3,1,1
2023-10-08T16:04:00-03:00,14,4,3,1,1
2023-10-08T16:12:00-03:00,12,3,2,1,1
2023-10-08T16:20:00-03:00,12,2,2,0.5,1
2023-10-08T16:28:00-03:00,11,2,3,1,1
2023-10-08T16:36:00-03:00,13,3,2,1,1
2023-10-08T16:44:00-03:00,12,2,3,1,1
2023-10-08T16:52:00-03:00,10,2,2,1,1
2023-10-08T17:00:00-03:00,11,2,2,1,0.5
2023-10-08T17:08:00-03:00,10,2,2,1,1
2023-10-08T17:16:00-03:00,12,2,3,0.5,1
2023-10-08T17:24:00-03:00,11,2,2,1,1
2023-10-08T17:32:00-03:00,13,3,2,1,1
2023-10-08T17:40:00-03:00,12,3,3,0.5,1
2023-10-08T17:48:00-03:00,13,3,3,1,1
2023-10-08T17:56:00-03:00,12,2,2,1,2
2023-10-08T18:04:00-03:00,12,3,3,1,1
2023-10-08T18:12:00-03:00,13,2,3,1,1
2023-10-08T18:20:00-03:00,13,3,2,1,2
2023-10-08T18:28:00-03:00,13,3,3,1,1
2023-10-08T18:36:00-03:00,12,2,3,1,2
2023-10-08T18:44:00-03:00,12,3,3,1,1
2023-10-08T18:52:00-03:00,13,4,3,1,1
2023-10-08T19:00:00-03:00,12,3,2,1,1
2023-10-08T19:08:00-03:00,13,3,4,1,2
2023-10-08T19:16:00-03:00,15,3,4,1,2
2023-10-08T19:24:00-03:00,15,2,2,2,1
2023-10-08T19:32:00-03:00,13,3,2,1,3
2023-10-08T19:40:00-03:00,13,3,3,2,2
2023-10-08T19:48:00-03:00,14,3,4,2,2
2023-10-08T19:56:00-03:00,14,3,4,2,2
2023-10-08T20:04:00-03:00,13,3,5,2,2
2023-10-08T20:12:00-03:00,15,4,4,3,4
2023-10-08T20:20:00-03:00,13,3,4,3,3
2023-10-08T20:28:00-03:00,15,5,4,4,3
2023-10-08T20:36:00-03:00,17,5,4,3,3
2023-10-08T20:44:00-03:00,15,5,4,3,2
2023-10-08T20:52:00-03:00,20,6,6,4,5
2023-10-08T21:00:00-03:00,22,6,5,6,4
2023-10-08T21:08:00-03:00,20,18,13,24,31
2023-10-08T21:16:00-03:00,24,41,33,100,20
2023-10-08T21:24:00-03:00,57,42,23,48,81
2023-10-08T21:32:00-03:00,40,22,41,98,35
2023-10-08T21:40:00-03:00,34,20,36,63,53
2023-10-08T21:48:00-03:00,61,25,26,23,30
2023-10-08T21:56:00-03:00,46,22,22,24,28
2023-10-08T22:04:00-03:00,36,20,27,15,27
2023-10-08T22:12:00-03:00,53,25,23,14,54
2023-10-08T22:20:00-03:00,51,47,26,93,32
2023-10-08T22:28:00-03:00,50,28,30,77,53
2023-10-08T22:36:00-03:00,41,34,30,52,44
2023-10-08T22:44:00-03:00,52,31,33,37,36
2023-10-08T22:52:00-03:00,46,34,22,44,29
2023-10-08T23:00:00-03:00,47,26,33,33,26
2023-10-08T23:08:00-03:00,43,20,22,23,37
2023-10-08T23:16:00-03:00,35,31,21,15,19
2023-10-08T23:24:00-03:00,33,45,18,27,16
2023-10-08T23:32:00-03:00,37,53,18,16,16
2023-10-08T23:40:00-03:00,30,35,14,14,14
2023-10-08T23:48:00-03:00,32,36,13,12,13
2023-10-08T23:56:00-03:00,27,23,12,12,11
2023-10-09T00:04:00-03:00,24,19,12,8,11
2023-10-09T00:12:00-03:00,24,16,11,7,9
2023-10-09T00:20:00-03:00,25,16,10,9,10
2023-10-09T00:28:00-03:00,23,15,9,8,8
2023-10-09T00:36:00-03:00,23,15,10,10,10
2023-10-09T00:44:00-03:00,24,13,8,9,9
2023-10-09T00:52:00-03:00,23,12,10,6,9
2023-10-09T01:00:00-03:00,22,12,10,7,6
2023-10-09T01:08:00-03:00,23,10,7,8,8
2023-10-09T01:16:00-03:00,21,11,7,6,10
2023-10-09T01:24:00-03:00,17,13,10,6,8
2023-10-09T01:32:00-03:00,18,10,7,7,7
2023-10-09T01:40:00-03:00,22,9,11,6,11
2023-10-09T01:48:00-03:00,18,14,8,8,10
2023-10-09T01:56:00-03:00,22,11,7,7,7
2023-10-09T02:04:00-03:00,21,10,9,5,8
2023-10-09T02:12:00-03:00,22,13,8,5,7
2023-10-09T02:20:00-03:00,20,8,8,5,8
2023-10-09T02:28:00-03:00,19,5,5,4,6
2023-10-09T02:36:00-03:00,22,5,12,3,13
2023-10-09T02:44:00-03:00,18,7,6,7,2
2023-10-09T02:52:00-03:00,27,9,2,6,9
2023-10-09T03:00:00-03:00,23,7,7,7,6
2023-10-09T03:08:00-03:00,17,7,5,3,8
2023-10-09T03:16:00-03:00,19,9,9,3,13
2023-10-09T03:24:00-03:00,22,9,6,4,6
2023-10-09T03:32:00-03:00,17,13,7,8,6
2023-10-09T03:40:00-03:00,24,3,7,4,7
2023-10-09T03:48:00-03:00,21,9,5,2,2
2023-10-09T03:56:00-03:00,18,6,6,10,9
2023-10-09T04:04:00-03:00,13,7,4,0,4
2023-10-09T04:12:00-03:00,11,8,5,0,8
2023-10-09T04:20:00-03:00,16,5,2,7,7
2023-10-09T04:28:00-03:00,10,5,4,3,6
2023-10-09T04:36:00-03:00,17,2,6,2,7
2023-10-09T04:44:00-03:00,12,2,5,0,4
2023-10-09T04:52:00-03:00,5,4,6,3,3
2023-10-09T05:00:00-03:00,12,5,2,5,3
2023-10-09T05:08:00-03:00,17,3,0,6,0
2023-10-09T05:16:00-03:00,14,7,5,6,4
2023-10-09T05:24:00-03:00,9,7,2,4,2
2023-10-09T05:32:00-03:00,8,10,7,5,0
2023-10-09T05:40:00-03:00,14,8,4,4,4
2023-10-09T05:48:00-03:00,10,0,3,0,5
2023-10-09T05:56:00-03:00,14,2,4,5,8
2023-10-09T06:04:00-03:00,9,3,3,4,1
2023-10-09T06:12:00-03:00,13,6,4,1,5
2023-10-09T06:20:00-03:00,10,4,5,1,6
2023-10-09T06:28:00-03:00,11,5,6,2,7
2023-10-09T06:36:00-03:00,8,4,3,3,7
2023-10-09T06:44:00-03:00,14,5,2,4,4
2023-10-09T06:52:00-03:00,14,5,5,2,5
2023-10-09T07:00:00-03:00,13,6,6,4,4
2023-10-09T07:08:00-03:00,12,7,4,6,5
2023-10-09T07:16:00-03:00,12,6,4,4,2
2023-10-09T07:24:00-03:00,12,5,6,4,4
2023-10-09T07:32:00-03:00,13,4,5,4,4
2023-10-09T07:40:00-03:00,11,7,6,4,4
2023-10-09T07:48:00-03:00,16,8,7,4,5
2023-10-09T07:56:00-03:00,12,6,6,4,6
2023-10-09T08:04:00-03:00,12,6,5,3,3
2023-10-09T08:12:00-03:00,13,5,4,3,5
2023-10-09T08:20:00-03:00,11,7,5,3,5
2023-10-09T08:28:00-03:00,13,4,6,4,5
2023-10-09T08:36:00-03:00,12,5,5,5,5
2023-10-09T08:44:00-03:00,12,4,5,4,4
2023-10-09T08:52:00-03:00,12,4,4,4,5
2023-10-09T09:00:00-03:00,13,5,5,3,5
2023-10-09T09:08:00-03:00,12,5,5,3,5
2023-10-09T09:16:00-03:00,11,5,5,4,4
2023-10-09T09:24:00-03:00,12,5,6,3,5
2023-10-09T09:32:00-03:00,11,4,5,3,4
2023-10-09T09:40:00-03:00,14,5,5,4,4
2023-10-09T09:48:00-03:00,10,4,6,3,5
2023-10-09T09:56:00-03:00,12,5,6,4,5
2023-10-09T10:04:00-03:00,12,4,5,3,6
2023-10-09T10:12:00-03:00,12,4,5,3,5
2023-10-09T10:20:00-03:00,12,5,4,3,4
2023-10-09T10:28:00-03:00,11,4,4,2,4
2023-10-09T10:36:00-03:00,10,4,5,3,4
2023-10-09T10:44:00-03:00,12,4,5,3,3
2023-10-09T10:52:00-03:00,11,4,4,4,3
2023-10-09T11:00:00-03:00,11,3,4,3,4
2023-10-09T11:08:00-03:00,12,4,5,3,5
2023-10-09T11:16:00-03:00,11,4,5,3,3
2023-10-09T11:24:00-03:00,12,4,5,2,3
2023-10-09T11:32:00-03:00,12,4,5,3,2
2023-10-09T11:40:00-03:00,10,4,4,3,4
2023-10-09T11:48:00-03:00,11,4,5,2,3
2023-10-09T11:56:00-03:00,13,3,4,3,3
2023-10-09T12:04:00-03:00,13,4,4,3,4
