id	provincia	No Positivo	UNION POR LA PATRIA	LA LIBERTAD AVANZA	JUNTOS POR EL CAMBIO	HACEMOS POR NUESTRO PAIS	FIT - UNIDAD	Total	Provincia	No Positivo (%)	UNION POR LA PATRIA (%)	LA LIBERTAD AVANZA (%)	JUNTOS POR EL CAMBIO (%)	HACEMOS POR NUESTRO PAIS (%)	FIT – UNIDAD (%)
2	Buenos Aires	346808	4224688	2533633	2374023	367457	352790	10199399	Buenos Aires	3.4	41.4	24.8	23.3	3.6	3.5
4	Córdoba	37521	308016	769847	519252	665717	31895	2332248	Córdoba	1.6	13.2	33.0	22.3	28.5	1.4
21	Santa Fe	44997	601241	657813	544677	183205	38553	2070486	Santa Fe	2.2	29.0	31.8	26.3	8.8	1.9
1	Ciudad Autónoma de Buenos Aires	50056	600832	369424	767367	57607	66145	1911431	Ciudad Autónoma de Buenos Aires	2.6	31.4	19.3	40.1	3.0	3.5
13	Mendoza	34692	265740	469367	286475	47958	38572	1142804	Mendoza	3.0	23.3	41.1	25.1	4.2	3.4
23	Tucumán	31900	471145	365992	153130	42086	15152	1079405	Tucumán	3.0	43.6	33.9	14.2	3.9	1.4
8	Entre Ríos	47171	276850	247640	250512	44720	12760	879653	Entre Ríos	5.4	31.5	28.2	28.5	5.1	1.5
17	Salta	17264	287756	309115	106684	47990	13533	782342	Salta	2.2	36.8	39.5	13.6	6.1	1.7
14	Misiones	25191	275062	305629	104787	29966	10036	750671	Misiones	3.4	36.6	40.7	14.0	4.0	1.3
6	Chaco	12966	310962	197596	171756	25804	5482	724566	Chaco	1.8	42.9	27.3	23.7	3.6	0.8
5	Corrientes	15535	260040	187916	224519	19118	7315	714443	Corrientes	2.2	36.4	26.3	31.4	2.7	1.0
22	Santiago del Estero	13029	402863	141344	49761	13305	7785	628087	Santiago del Estero	2.1	64.1	22.5	7.9	2.1	1.2
10	Jujuy	11193	146027	168921	90095	30775	16006	463017	Jujuy	2.4	31.5	36.5	19.5	6.6	3.5
16	Río Negro	20302	166135	148037	79609	27482	17649	459214	Río Negro	4.4	36.2	32.2	17.3	6.0	3.8
18	San Juan	11123	147523	155821	103118	27427	10025	455037	San Juan	2.4	32.4	34.2	22.7	6.0	2.2
15	Neuquén	19211	134510	155394	86927	25215	21238	442495	Neuquén	4.3	30.4	35.1	19.6	5.7	4.8
9	Formosa	6953	187229	103911	55097	8793	2772	364755	Formosa	1.9	51.3	28.5	15.1	2.4	0.8
7	Chubut	10314	110820	120297	70717	26555	15122	353825	Chubut	2.9	31.3	34.0	20.0	7.5	4.3
19	San Luis	9618	86681	138251	66824	20017	6964	328355	San Luis	2.9	26.4	42.1	20.4	6.1	2.1
3	Catamarca	15211	99612	74570	39960	14967	3666	247986	Catamarca	6.1	40.2	30.1	16.1	6.0	1.5
12	La Rioja	5372	97412	89236	27975	20179	2189	242363	La Rioja	2.2	40.2	36.8	11.5	8.3	0.9
11	La Pampa	4328	79229	76341	49911	16947	5244	232000	La Pampa	1.9	34.2	32.9	21.5	7.3	2.3
20	Santa Cruz	14669	65062	62350	28101	11311	4948	186441	Santa Cruz	7.9	34.9	33.4	15.1	6.1	2.7
24	Tierra del Fuego, Antártida e Islas del Atlántico Sur	3533	40548	35891	15875	9714	4091	109652	Tierra del Fuego, Antártida e Islas del Atlántico Sur	3.2	37.0	32.7	14.5	8.9	3.7
